No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025;Statistiques de temps de travail;Temps de travail effectif pondéré planifié;Temps dispo (heures supp, congés, travail assimilé pris en compte);Temps disponible restant;Temps supplémentaire planifié;Temps supplémentaire autorisé;Temps contractuel;Temps de travail assimilé;Temps d'absence pour congés;Temps de travail effectif planifié
20;;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;;96:00:00;147:00:00;51:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;96:00:00
21;;FAM;FAM;RH;RH;RH;RH;FAM;ZA;RH;RH;FAM;FAM;RH;RH;ZA;ZA;RH;RH;FAM;FAM;RH;RH;ZA;ZA;RH;RH;RH;ZA;ZA;ZA;;145:00:00;147:00:00;02:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;145:00:00
22;;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;ZB;ZB;RH;RH;;72:00:00;147:00:00;75:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;72:00:00
23;;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;;96:00:00;147:00:00;51:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;96:00:00
24;;RH;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;ZB;;60:00:00;147:00:00;87:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;60:00:00
25;;ZB;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;RH;;108:00:00;147:00:00;39:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;108:00:00
26;;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;RH;RH;RH;;144:00:00;147:00:00;03:00:00;00:00:00;00:00:00;147:00:00;00:00:00;00:00:00;144:00:00
27;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;147:00:00;00:00:00;147:00:00;00:00:00
28;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;147:00:00;00:00:00;147:00:00;00:00:00

0_ZA_0 (142/150);(8 manquants);5/5;4/5;5/5;5/5;5/5;5/5;4/5;4/5;4/5;5/5;5/5;5/5;5/5;4/5;4/5;5/5;5/5;4/5;5/5;5/5;5/5;4/5;5/5;5/5;5/5;5/5;5/5;5/5;5/5;5/5
1_ZB_0 (60/60);(0 manquants);2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2;2/2
2_FAM_0 (29/30);(1 manquants);1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;0/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1;1/1
