No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025
11;;ZB;ZB;RH;RH;RH;ZA;CA;CA;CA;CA;CA;RH;RH;ZA;RH;RH;ZB;RH;RH;RH;ZA;ZA;ZA;RH;RH;ZB;RH;RH;RH;RH
12;;ZA;ZA;ZA;RH;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;ZB;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA
13;;RH;RH;RH;ZA;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZB;RH;RH;RH;RH;ZA;ZA
14;;RH;RH;ZA;RH;RH;RH;ZA;RH;RH;ZA;CA;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;RH;RH;ZA;RH;RH;ZB;RH
15;;CA;CA;CA;CA;ZB;RH;RH;RH;ZA;ZA;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;ZA;ZA;RH;RH;RH;RH;RH;RH;RH
16;;CA;CA;CA;CA;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;RH;RH
17;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;RH;RH;RH;RH;RH;ZB;RH;RH;RH;ZB;RH;RH;RH;ZA;ZA;RH;RH
18;;RH;RH;RH;ZA;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;ZB;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZA
19;;RH;ZB;ZB;ZB;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;RH;RH
20;;ZB;ZB;RH;RH;RH;ZA;ZA;RH;RH;ZB;RH;RH;RH;RH;RH;RH;ZA;RH;RH;RH;ZA;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZB
21;;CA;CA;CA;CA;RH;ZA;ZA;ZA;ZA;RH;RH;RH;RH;RH;RH;ZA;RH;RH;RH;RH;ZA;ZA;RH;RH;RH;RH;ZB;ZB;RH;RH
22;;CA;CA;CA;CA;RH;RH;CA;CA;CA;CA;CA;RH;RH;ZA;RH;RH;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;ZA;RH;RH;RH;ZB
23;;RH;RH;ZA;ZA;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;ZB;RH;RH;RH;RH;ZA;RH;RH;ZA;ZA;ZA;RH;RH;RH;RH;RH
24;;RH;RH;ZA;ZA;RH;RH;CA;CA;CA;CA;CA;RH;RH;ZB;RH;RH;RH;RH;RH;RH;RH;RH;ZB;RH;RH;RH;ZB;RH;RH;RH
25;;ZB;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;RH;ZA;RH;RH;ZB;RH;RH;RH;RH;ZA;ZA;RH;RH;RH;RH;RH;ZA
26;;RH;RH;ZB;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;RH;ZB;RH;CA;CA;CA;CA;CA;RH;RH;ZB;ZB;ZB
27;;RH;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZB;RH;CA;CA;CA;CA;CA;RH;RH;RH;RH;RH
28;;RH;RH;ZA;RH;RH;RH;RH;ZA;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;ZA;ZA;ZA;CA;CA;CA;CA;CA;RH;RH;ZA;ZA;RH
29;;RH;ZA;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;RH;ZA;ZA;ZA;RH;RH;ZA;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH
30;;ZA;RH;RH;RH;RH;RH;RH;RH;RH;RH;ZA;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;RH;RH;ZA;ZA;ZA;RH
31;;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;ZA;ZA;RH;RH;RH
32;;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;RH;RH;RH
33;;ZA;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;RH;ZB;RH;RH;RH;ZB;RH
34;;TSY;TSY;TSY;TSY;RH;RH;TSY;TSY;ZB;RH;RH;RH;ZA;ZA;RH;RH;RH;RH;ZA;RH;RH;ZA;ZA;ZA;RH;RH;ZB;RH;RH;RH
35;;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;RH;RH;ZA;ZA;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH
36;;CLD;CLD;CLD;CLD;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;RH;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH
37;;ZA;ZA;RH;RH;RH;RH;RH;ZB;RH;RH;RH;RH;RH;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;RH
38;;ZB;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;ZB
39;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD
40;;RH;RH;RH;ZA;ZA;ZA;RH;RH;ZB;RH;RH;RH;RH;ZA;RH;RH;RH;ZA;ZA;RH;RH;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH
41;;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;ZA;RH
42;;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;RH;RH;ZA
43;;RH;RH;ZB;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH
44;;ZA;RH;RH;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;RH;ZA;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH
45;;RH;ZA;RH;RH;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;RH;RH;ZA
46;;RH;RH;RH;RH;ZA;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZA;ZA;ZA;RH;RH;ZA;RH;RH;RH;ZA;RH;RH;RH;ZA;ZA;ZA;RH

