Stat name;2025-04-01;2025-04-02;2025-04-03;2025-04-04;2025-04-05;2025-04-06;2025-04-07;2025-04-08;2025-04-09;2025-04-10;2025-04-11;2025-04-12;2025-04-13;2025-04-14;2025-04-15;2025-04-16;2025-04-17;2025-04-18;2025-04-19;2025-04-20;2025-04-21;2025-04-22;2025-04-23;2025-04-24;2025-04-25;2025-04-26;2025-04-27;2025-04-28;2025-04-29;2025-04-30
Assimilated Work Assigned Number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Assimilated Work Activity FC Assigned Number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Assimilated Work Activity TSY Assigned Number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rest Assigned Number;1;1;2;2;0;0;1;1;1;1;2;2;2;0;0;0;1;2;2;2;0;0;0;0;2;2;2;0;0;0
Planned Leave Assigned Number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unplanned Leave Assigned Number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leave Assigned Number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Available Resource Number;1;1;2;2;0;0;1;1;1;1;2;2;2;0;0;0;1;2;2;2;0;0;0;0;2;2;2;0;0;0
Daily undercoverage;3;3;4;4;0;0;3;3;3;3;4;0;0;2;2;2;3;4;0;0;2;2;2;2;4;0;0;3;3;2
Night Effective Work Need Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Effective Work Need Time Excl Night;40:0:0;40:0:0;40:0:0;40:0:0;0:0:0;0:0:0;40:0:0;40:0:0;40:0:0;40:0:0;40:0:0;0:0:0;0:0:0;40:0:0;40:0:0;40:0:0;40:0:0;40:0:0;0:0:0;0:0:0;40:0:0;40:0:0;40:0:0;40:0:0;40:0:0;0:0:0;0:0:0;40:0:0;40:0:0;40:0:0
Effective Work Need Time;40:0:0;40:0:0;40:0:0;40:0:0;0:0:0;0:0:0;40:0:0;40:0:0;40:0:0;40:0:0;40:0:0;0:0:0;0:0:0;40:0:0;40:0:0;40:0:0;40:0:0;40:0:0;0:0:0;0:0:0;40:0:0;40:0:0;40:0:0;40:0:0;40:0:0;0:0:0;0:0:0;40:0:0;40:0:0;40:0:0
Night Undercoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Undercoverage Time Excl Night;30:0:0;30:0:0;40:0:0;40:0:0;0:0:0;0:0:0;30:0:0;30:0:0;30:0:0;30:0:0;40:0:0;0:0:0;0:0:0;20:0:0;20:0:0;20:0:0;30:0:0;40:0:0;0:0:0;0:0:0;20:0:0;20:0:0;20:0:0;20:0:0;40:0:0;0:0:0;0:0:0;30:0:0;30:0:0;20:0:0
Undercoverage Time;30:0:0;30:0:0;40:0:0;40:0:0;0:0:0;0:0:0;30:0:0;30:0:0;30:0:0;30:0:0;40:0:0;0:0:0;0:0:0;20:0:0;20:0:0;20:0:0;30:0:0;40:0:0;0:0:0;0:0:0;20:0:0;20:0:0;20:0:0;20:0:0;40:0:0;0:0:0;0:0:0;30:0:0;30:0:0;20:0:0
Night Overcoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Overcoverage Time Excl Night;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Overcoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
