Resource 1

Work Time Stat.0  ; Total work time                         ; 110:0:0
Work Period Stat.4.2 ; Day activity number                  ; 0.00
Work Period Stat.4.3 ; Total activity number                ; 14.00
Work Period Stat.4.4 ; Isolated activity number             ; 0.00

Rest Period Stat.0 ; Periods number                         ; 5.00
Rest Period Stat.1 ; Min length                             ; 2.00
Rest Period Stat.2 ; Max length                             ; 5.00
Rest Period Stat.3 ; Mean length                            ; 3.20
Rest Period Stat.4 ; Rest number                            ; 16.00
Rest Period Stat.5 ; Isolated rest period nb                ; 0.00

Activity Stat.0  ; Activity preference score                ; 0.00
Activity Stat.1  ; Effective work activity number           ; 14.00
Activity Stat.2  ; Assimilated work activity number         ; 0.00
Activity Stat.3  ; Different activity number                ; 1.00
Activity Stat.4  ; Planned leave number                     ; 0.00
Activity Stat.5  ; Unplanned leave number                   ; 0.00
Activity Stat.6  ; Leave number                             ; 0.00
Activity Stat.7  ; Activity change number                   ; 0.00
Activity Stat.8  ; Activity 'N' occurrence nb              ; 14.00
Activity Stat.8  ; Activity 'RC' occurrence nb              ; 1.00
Activity Stat.8  ; Activity 'RH' occurrence nb              ; 15.00

Office Stat.0 ; Different office nb                                   ; 1.00
Office Stat.1 ; Office 'hospitalisation continue' occurrence nb        ; 14.00
Office Stat.3 ; Office change number                                  ; 0.00

