Stat name;2025-04-01;2025-04-02;2025-04-03;2025-04-04;2025-04-05;2025-04-06;2025-04-07;2025-04-08;2025-04-09;2025-04-10;2025-04-11;2025-04-12;2025-04-13;2025-04-14;2025-04-15;2025-04-16;2025-04-17;2025-04-18;2025-04-19;2025-04-20;2025-04-21;2025-04-22;2025-04-23;2025-04-24;2025-04-25;2025-04-26;2025-04-27;2025-04-28;2025-04-29;2025-04-30
Assimilated Work Assigned Number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Assimilated Work Activity FC Assigned Number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Assimilated Work Activity TSY Assigned Number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rest Assigned Number;13;14;14;14;16;17;15;14;14;14;13;17;17;15;15;14;14;15;17;17;13;13;14;14;13;17;17;17;17;17
Planned Leave Assigned Number;3;3;3;3;0;0;3;3;3;3;4;0;0;3;3;3;3;3;0;0;4;4;4;4;4;0;0;0;0;0
Unplanned Leave Assigned Number;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Leave Assigned Number;7;7;7;7;4;3;6;6;6;6;7;3;3;6;6;6;6;6;3;3;7;7;7;7;7;3;3;3;3;3
Available Resource Number;20;21;21;21;20;20;21;20;20;20;20;20;20;21;21;20;20;21;20;20;20;20;21;21;20;20;20;20;20;20
Daily undercoverage;0;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0
Night Effective Work Need Time;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0;24:0:0
Effective Work Need Time Excl Night;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0;67:0:0
Effective Work Need Time;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0;91:0:0
Night Undercoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Undercoverage Time Excl Night;0:0:0;12:0:0;12:0:0;7:0:0;0:0:0;0:0:0;12:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;12:0:0;12:0:0;0:0:0;0:0:0;12:0:0;0:0:0;0:0:0;0:0:0;0:0:0;12:0:0;12:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Undercoverage Time;0:0:0;12:0:0;12:0:0;7:0:0;0:0:0;0:0:0;12:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;12:0:0;12:0:0;0:0:0;0:0:0;12:0:0;0:0:0;0:0:0;0:0:0;0:0:0;12:0:0;12:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Night Overcoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Overcoverage Time Excl Night;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
Overcoverage Time;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0
